Year,Month,Day,Temperature,Humidity,Wind_Speed,Precipitation,Daylight,Air_Quality_Index_NOx,Cloud_Cover,Solar_radiation
2015,8,21,0.918728,-0.329357,0.130982,0,0.673972,0.277592,0.073025,19.97
2015,8,22,0.925795,-0.835477,0.125945,0,0.261985,0.315496,-0.832881,15.82
2015,8,23,0.929329,-0.835477,0.108312,0.013725,0.648222,0.32553,-1.574078,19.01
2015,8,24,0.922261,-0.835477,0.073048,0,0.699721,0.346711,-0.832881,19.49
2015,8,25,0.911661,-1.17289,0.103275,0,1.03446,0.269788,-1.903498,18.8
2015,8,26,0.837456,0.429822,0.130982,0.001445,-1.025472,0.19621,0.402446,8.01
2015,8,27,0.858657,0.176763,0.115869,0,0.41648,0.254181,0.278913,19.39
2015,8,28,0.837456,0.261116,0.108312,0.000241,-0.150001,0.299889,0.649511,14.04
2015,8,29,0.812721,0.598529,0.070529,0.00602,-0.510489,0.309922,0.773044,9
2015,8,30,0.777385,1.104648,0.017632,0.015892,-1.308713,0.270903,0.814222,4.98
2015,8,31,0.805654,0.682882,0.060453,0.000482,-1.076971,0.284281,0.814222,9.78
2015,9,1,0.80212,0.935942,0.15869,0.018782,-1.205716,0.180602,0.773044,9.54
2015,9,2,0.734982,1.357708,0.168766,0.093667,-1.308713,0.187291,0.814222,2.27
2015,9,3,0.816254,0.851589,0.15869,0.000722,-1.128469,0.180602,0.773044,10.74
2015,9,4,0.865724,0.345469,0.115869,0,0.931463,0.251951,-0.338751,22.09
2015,9,5,0.869258,0.176763,0.138539,0,1.523693,0.238573,-1.244657,25.27
2015,9,6,0.883392,0.345469,0.173804,0,1.188954,0.19621,-1.038769,23.75
2015,9,7,0.837456,0.767235,0.108312,0.018059,-1.179967,0.207358,0.567156,5.72
2015,9,8,0.816254,-0.245004,0.256927,0,0.828466,0.168339,-0.338751,20.18
2015,9,9,0.819788,-0.160651,0.209068,0,1.291951,0.166109,-0.997592,23.03
2015,9,10,0.816254,-0.160651,0.211587,0,0.72547,0.173913,-0.874059,20.86
2015,9,11,0.816254,0.008056,0.221662,0,0.854216,0.187291,-0.915237,21.48
2015,9,12,0.816254,-0.160651,0.188917,0,0.41648,0.173913,-0.091685,18.07
2015,9,13,0.816254,-0.91983,0.241814,0,1.060209,0.121516,-0.791704,22.46
2015,9,14,0.812721,-0.582417,0.241814,0,1.085958,0.157191,-0.915237,23.14
2015,9,15,0.840989,-0.41371,0.269521,0,1.00871,0.148272,-0.338751,23.08
2015,9,16,0.816254,0.345469,0.241814,0.012039,-0.767981,0.158305,0.731866,13.9
2015,9,17,0.819788,0.176763,0.224181,0,0.519477,0.169454,0.15538,19.8
2015,9,18,0.830389,0.092409,0.161209,0,0.905714,0.185061,-0.874059,20.72
2015,9,19,0.830389,0.261116,0.085642,0,-0.330245,0.267559,-0.050507,11.39
2015,9,20,0.848057,0.092409,0.138539,0,0.673972,0.209588,0.237736,18.12
2015,9,21,0.795053,0.345469,0.095718,0.046954,-1.205716,0.255295,0.814222,7.96
2015,9,22,0.837456,0.598529,0.171285,0.003371,0.957212,0.181717,-0.050507,20.78
2015,9,23,0.855124,0.345469,0.080605,0,0.442229,0.236343,-1.162302,14.15
2015,9,24,0.872792,0.092409,0.15869,0,1.549443,0.220736,-1.862321,23.76
2015,9,25,0.886926,0.092409,0.151134,0,1.523693,0.243032,-1.244657,23.62
2015,9,26,0.848057,0.851589,0.110831,0.016855,-0.098503,0.257525,0.114203,11.85
2015,9,27,0.826855,0.345469,0.09068,0.005297,-0.664984,0.153846,0.525979,9.87
2015,9,28,0.872792,-1.763362,0.146096,0,1.549443,0.179487,-1.574078,21.98
2015,9,29,0.890459,-2.016422,0.163728,0,1.369199,0.314381,-0.626994,20.82
2015,9,30,0.886926,-0.160651,0.130982,0,0.879965,0.206243,0.402446,19.6
2015,10,1,0.855124,0.345469,0.065491,0.000722,-0.561988,0.211817,0.649511,11.49
2015,10,2,0.819788,-0.329357,0.196474,0.004575,-0.227249,0.176143,0.567156,13.01
2015,10,3,0.784452,0.261116,0.335013,0.118709,-0.896727,0.133779,0.814222,10.88
2015,10,4,0.784452,1.020295,0.523929,0.084999,-1.308713,0.120401,1.102465,2.76
2015,10,5,0.784452,1.020295,0.324937,0.034674,-1.076971,0.190635,0.814222,5.39
